rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
4,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
5,Blinding Lights,The Weeknd,canadian contemporary r&b,171,80,51,4,9,35,202,0,6
6,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
7,Ride It,Regard,pop edm,118,75,88,4,11,88,158,18,9
8,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,147,61,33,11,77,40,214,32,3
9,Mistletoe,Justin Bieber,canadian pop,162,56,66,9,8,85,183,50,5
10,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
11,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,202,60,24,8,12,78,152,77,4
12,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,95,51,77,9,7,77,228,32,3
13,Ayy Macarena,Tyga,pop rap,96,63,82,6,7,72,132,13,23
14,Have Yourself A Merry Little Christmas,Sam Smith,pop,75,18,44,9,32,34,171,96,4
15,Underneath the Tree,Kelly Clarkson,dance pop,160,81,51,5,21,69,230,0,5
16,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,129,84,67,4,11,84,126,61,3
17,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,115,64,60,7,10,35,223,16,4
18,Christmas Lights,Coldplay,permanent wave,131,42,31,9,8,24,242,13,3
19,Step Into Christmas,Elton John,glam rock,140,93,53,6,31,82,272,10,4
20,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
21,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,7,35,96,182,53,4
22,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
23,My Only Wish (This Year),Britney Spears,dance pop,147,73,67,7,20,68,255,23,3
24,Rudolph The Red-Nosed Reindeer,Dean Martin,adult standards,136,20,48,17,9,86,136,92,3
25,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,180,58,51,11,18,87,242,36,4
26,COLT,Samra,german hip hop,90,53,54,6,10,18,180,35,43
27,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,96,70,61,4,57,67,192,13,37
28,Roller,Apache 207,german hip hop,128,76,94,6,19,68,157,3,17
29,Hallelujah,Pentatonix,a cappella,119,38,32,7,34,37,269,45,4
30,2002,Sido,german hip hop,160,69,66,8,10,49,237,21,24
31,Doch in der Nacht,Apache 207,german hip hop,131,83,90,7,21,71,192,12,7
32,Thank God It's Christmas - Non-Album Single,Queen,glam rock,83,42,30,9,23,34,262,21,3
33,Alien,RIN,german cloud rap,138,60,84,6,11,85,209,30,6
34,Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,NA,150,68,58,5,26,52,232,11,3
35,200 km/h,Apache 207,german hip hop,148,67,90,6,11,41,163,27,16
36,Wieso tust Du dir das an?,Apache 207,german hip hop,134,48,86,7,12,46,176,29,6
37,Merry Xmas Everybody,Slade,album rock,130,80,41,3,18,47,223,22,4
38,110,Capital Bra,german hip hop,179,75,48,5,10,42,195,53,43
39,Nur zur Info,Ufo361,german cloud rap,89,37,73,12,11,23,142,17,44
40,Mit Dir,Loredana,kosovan pop,196,53,75,6,6,64,158,16,34
41,Christmas Time,Bryan Adams,album rock,77,58,50,4,10,32,243,47,3
42,Keine Liebe,RIN,german cloud rap,104,80,80,5,31,57,198,13,4
43,The Best Side Of Life,Sarah Connor,german pop,91,63,63,5,12,55,229,56,3
44,In der Weihnachtsbï¿½ï¿½ï,Rolf Zuckowski,german pop,146,45,82,9,20,92,173,49,4
45,STAR,Nimo,german hip hop,108,82,81,5,17,60,162,38,9
46,Merry Christmas Everyone,Shakin' Stevens,new wave pop,102,71,76,10,8,96,224,16,3
47,Vor der Tï¿,Gzuz,deep german hip hop,101,73,86,6,10,20,171,2,19
48,KEIN SCHLAF,Nimo,german hip hop,174,70,61,6,12,43,200,31,17
49,KARMA,Nimo,german hip hop,160,64,69,6,33,53,255,14,8
50,Skifahren,The Cratez,german hip hop,134,71,72,7,15,44,163,22,25
